,last_name
0,port
1,scatter
7,other
60,burgett
70,blank
360,vote
398,worthington
408,parisius
409,reyna
410,shugart
411,lash
412,tancredo
472,katzen
481,kennedy
502,badaracco
603,gibbs
681,jensen
682,harding
683,shapiro
684,mianchi
685,brumfield
686,faulkner
687,lensing
688,monroe
689,vance
690,wilson
701,casha
702,hill
703,altschuler
713,johnson
739,squiers
748,votes
750,drummond
809,rostek
820,rossano
825,vlakancic
850,hook
878,skalsky
898,harris
1022,others
1025,blanks
1044,movement
1047,void
1048,libertarian
1049,scattering
1071,city
1118,constitution
1132,miscellaneous
1137,overvotes
1149,wham
1150,konstanty
1151,carter
1152,pearlman
1153,ziruolo
1154,vernotico
1155,hochbrueckner
1156,green
1157,smith
1158,tharp
1159,peters
1160,love
1161,jones
1162,kelly
1163,godena
1164,peterson
1165,welty
1166,henspeter
1168,lowndes
1169,lippi
1170,ponczek
1171,mcmahon
1172,verderese
1173,burke
1174,lahood
1175,bacha
1176,cerrato
1177,spalletta
1178,predham
1179,campbell
1180,criss
1181,pellosie
1182,dominianni
1183,kolodziej
1184,caslander
1185,russo
1186,bonacci
1187,mchugh
1188,jezer
1189,ley
1190,magerman
1191,edwards
1192,dick
1193,turnbull
1194,hockmuth
1195,kaan
1196,wheat
1197,fitzgerald
1198,thornton
1199,croce
1202,strong
1203,eric
1204,leighton
1205,catherine
1206,cash
1207,szabo
1208,carlson
1209,mckinley
1210,vacek
1211,pordum
1212,worley
1213,ondusko
1214,holtz
1215,kassel
1216,holst
1217,henry
1218,donnelly
1219,cole
1220,wolfertz
1221,hennager
1222,walker
1223,cleary
1224,driver
1226,garst
1227,feduniewicz
1228,winkelmann
1229,cino
1230,lyden
1231,zaklama
1232,hayes
1233,mclain
1234,rosberg
1235,king
1236,policarpio
1237,guller
1238,hawkins
1239,randolph
1240,larchuk
1241,ratigan
1244,mullock
1245,norwood
1246,merle
1248,louis
1249,tarbous
1250,abrams
1251,jarvis
1252,hester
1253,morrisseau
1254,hammons
1255,scott
1256,emmons
1257,i
1258,lindsay
1259,stein
1260,greco
1261,hsing
1263,corsi
1265,schley
1266,hutchinson
1267,brown
1268,porter
1269,jordan
1270,clark
1271,nes
1273,cavlan
1274,petrutz
1275,lovett
1276,destefano
1277,donahue
1278,meiswinkle
1279,radigan
1280,zaletel
1281,miller
1282,toussaint
1283,nacer
1285,schneller
1286,towne
1287,krsiean
1288,ayyash
1289,kauther
1290,david
1291,lukens
1292,frank
1294,witterschein
1296,breen
1297,olivera
1298,deluca
1301,berlin
1302,bednarski
1303,laframboise
1304,wills
1305,thompson
1306,burgess
1307,chapman
1309,berman
1311,thorne
1312,montilla
1313,franklin
1314,angel
1315,freudenheim
1316,lally
1317,steinhardt
1318,dilger
1321,gerrard
1323,beechwood
1324,franco
1325,keenan
1326,fenichel
1327,schroeder
1329,boss
1331,fraser
1332,depasquale
1333,forchion
1335,maio
