"","rating_id","candidate_id","sig_id","rating","rating_name","timespan","rating_text","category_id_1","category_name_1","category_id_2","category_name_2","category_id_3","category_name_3","category_id_4","category_name_4","category_id_5","category_name_5"
"1","13049","28253","599","100","Positions [2022-01-12]","2022","Representative Raul Grijalva supported the interests of the NORML (National Organization for the Reform of Marijuana Laws) 100 percent in 2022.","101","Marijuana",NA,NA,NA,NA,NA,NA,NA,NA
"2","13099","28253","2439","0","Lifetime Positions","2022","Representative Raul Grijalva supported the interests of the Independent Petroleum Association of America 0 percent in 2022.","104","Oil and Gas",NA,NA,NA,NA,NA,NA,NA,NA
"3","13080","28253","471","25","Positions [2021-11-20]","2021-2022","Representative Raul Grijalva supported the interests of the National Retail Federation (NRF) 25 percent in 2021-2022.","11","Business and Consumers","3","Employment and Affirmative Action","64","Transportation",NA,NA,NA,NA
"4","13082","28253","834","0","Positions","2021-2022","Representative Raul Grijalva supported the interests of the Associated Builders & Contractors (ABC) 0 percent in 2021-2022.","11","Business and Consumers",NA,NA,NA,NA,NA,NA,NA,NA
"5","13083","28253","1578","100","Positions [2022-02-03]","2021-2022","Representative Raul Grijalva supported the interests of the Planned Parenthood Action Fund 100 percent in 2021-2022.","2","Abortion","38","Health and Health Care",NA,NA,NA,NA,NA,NA
"6","13084","28253","933","17.0","Positions [2022-02-03]","2021-2022","Representative Raul Grijalva supported the interests of the National Federation of Independent Business (NFIB) 17.0 percent in 2021-2022.","11","Business and Consumers",NA,NA,NA,NA,NA,NA,NA,NA
"7","13085","28253","503","50","Positions","2021-2022","Representative Raul Grijalva supported the interests of the Associated General Contractors of America 50 percent in 2021-2022.","11","Business and Consumers",NA,NA,NA,NA,NA,NA,NA,NA
"8","13086","28253","503","38","Lifetime Positions","2021-2022","Representative Raul Grijalva supported the interests of the Associated General Contractors of America 38 percent in 2021-2022.","11","Business and Consumers",NA,NA,NA,NA,NA,NA,NA,NA
"9","13090","28253","437","100","Positions [2022-02-08]","2021-2022","Representative Raul Grijalva supported the interests of the Friends Committee on National Legislation 100 percent in 2021-2022.","13","Civil Liberties and Civil Rights","31","Family",NA,NA,NA,NA,NA,NA
"10","13098","28253","2439","0","Positions","2021-2022","Representative Raul Grijalva supported the interests of the Independent Petroleum Association of America 0 percent in 2021-2022.","104","Oil and Gas",NA,NA,NA,NA,NA,NA,NA,NA
"11","12771","28253","2167","99","Positions (All Votes) [7-27-2021]","2021","Representative Raul Grijalva supported the interests of the Progressive Punch 99 percent in 2021.","87","Fiscally Liberal","110","Socially Liberal",NA,NA,NA,NA,NA,NA
"12","12772","28253","2167","98","Lifetime Positions (All Votes) [7-27-2021]","2021","Representative Raul Grijalva supported the interests of the Progressive Punch 98 percent in 2021.","87","Fiscally Liberal","110","Socially Liberal",NA,NA,NA,NA,NA,NA
"13","12773","28253","2167","98","Positions (Crucial Votes) [7-27-2021]","2021","Representative Raul Grijalva supported the interests of the Progressive Punch 98 percent in 2021.","87","Fiscally Liberal","110","Socially Liberal",NA,NA,NA,NA,NA,NA
"14","12774","28253","2167","96","Lifetime Positions (Crucial Votes) [7-27-2021]","2021","Representative Raul Grijalva supported the interests of the Progressive Punch 96 percent in 2021.","87","Fiscally Liberal","110","Socially Liberal",NA,NA,NA,NA,NA,NA
"15","12788","28253","2061","0","Positions [7-28-2021]","2021","Representative Raul Grijalva supported the interests of the Heritage Action for America 0 percent in 2021.","17","Conservative","86","Fiscally Conservative","109","Socially Conservative",NA,NA,NA,NA
"16","12790","28253","1574","30","Positions [7-29-2021]","2021","Representative Raul Grijalva supported the interests of the Animal Welfare Institute 30 percent in 2021.","5","Animals and Wildlife",NA,NA,NA,NA,NA,NA,NA,NA
"17","12792","28253","1378","100","Positions [7-29-2021]","2021","Representative Raul Grijalva supported the interests of the American Civil Liberties Union (ACLU) 100 percent in 2021.","13","Civil Liberties and Civil Rights",NA,NA,NA,NA,NA,NA,NA,NA
"18","12795","28253","2654","0","Positions [7-29-2021, House Only]","2021","Representative Raul Grijalva supported the interests of the American Bakers Association 0 percent in 2021.","4","Agriculture and Food","88","Food Processing and Sales",NA,NA,NA,NA,NA,NA
"19","12966","28253","674","82","Positions","2021","Representative Raul Grijalva supported the interests of the Humane Society Legislative Fund 82 percent in 2021.","5","Animals and Wildlife",NA,NA,NA,NA,NA,NA,NA,NA
"20","13040","28253","1744","70","Positions","2021","Representative Raul Grijalva supported the interests of the RESULTS 70 percent in 2021.","27","Education","38","Health and Health Care","80","Minors and Children","67","Unemployed and Low-Income",NA,NA
"21","13041","28253","1658","7","Positions","2021","Representative Raul Grijalva supported the interests of the FreedomWorks 7 percent in 2021.","36","Government Operations","111","Taxes",NA,NA,NA,NA,NA,NA
"22","13042","28253","252","0","Positions","2021","Representative Raul Grijalva supported the interests of the National Right to Life Committee 0 percent in 2021.","2","Abortion","68","Women",NA,NA,NA,NA,NA,NA
"23","13067","28253","2231","0","Positions","2021","Representative Raul Grijalva supported the interests of the Family Research Council (FRC) Action 0 percent in 2021.","13","Civil Liberties and Civil Rights","107","Religion","109","Socially Conservative","68","Women",NA,NA
"24","13070","28253","1226","0","Positions","2021","Representative Raul Grijalva supported the interests of the Gun Owners of America 0 percent in 2021.","37","Guns",NA,NA,NA,NA,NA,NA,NA,NA
"25","13073","28253","2412","14","Lifetime Positions","2021","Representative Raul Grijalva supported the interests of the Conservative Review 14 percent in 2021.","17","Conservative",NA,NA,NA,NA,NA,NA,NA,NA
"26","13089","28253","2863","100","Positions [2022-02-07]","2021","Representative Raul Grijalva supported the interests of the National Cannabis Industry Association 100 percent in 2021.","101","Marijuana",NA,NA,NA,NA,NA,NA,NA,NA
"27","13100","28253","1513","0","Positions","2021","Representative Raul Grijalva supported the interests of the Eagle Forum 0 percent in 2021.","2","Abortion","79","Campaign Finance","17","Conservative","22","Defense","90","Government Budget and Spending"
"28","12299","28253","1985","0","Lifetime Positions [2020-10-12]","2020","Representative Raul Grijalva supported the interests of the NumbersUSA 0 percent in 2020.","40","Immigration",NA,NA,NA,NA,NA,NA,NA,NA
"29","12303","28253","1034","0","Positions","2020","Representative Raul Grijalva supported the interests of the National Rifle Association (NRA) 0 percent in 2020.","37","Guns",NA,NA,NA,NA,NA,NA,NA,NA
"30","12304","28253","1578","100","Lifetime Positions [2020-10-12]","2020","Representative Raul Grijalva supported the interests of the Planned Parenthood Action Fund 100 percent in 2020.","2","Abortion","38","Health and Health Care","75","Reproduction",NA,NA,NA,NA
"31","12336","28253","1658","21","Positions [2020-10-21]","2020","Representative Raul Grijalva supported the interests of the FreedomWorks 21 percent in 2020.","36","Government Operations","111","Taxes",NA,NA,NA,NA,NA,NA
"32","12393","28253","1226","0","Candidate Positions","2020","Representative Raul Grijalva supported the interests of the Gun Owners of America 0 percent in 2020.","37","Guns",NA,NA,NA,NA,NA,NA,NA,NA
"33","12396","28253","599","100","Positions","2020","Representative Raul Grijalva supported the interests of the NORML (National Organization for the Reform of Marijuana Laws) 100 percent in 2020.","101","Marijuana",NA,NA,NA,NA,NA,NA,NA,NA
"34","12414","28253","2171","100","Positions","2020","Representative Raul Grijalva supported the interests of the Food Policy Action 100 percent in 2020.","4","Agriculture and Food","5","Animals and Wildlife","30","Environment","88","Food Processing and Sales","38","Health and Health Care"
"35","12415","28253","2879","0","Positions","2020","Representative Raul Grijalva supported the interests of the National Shooting Sports Foundation 0 percent in 2020.","37","Guns",NA,NA,NA,NA,NA,NA,NA,NA
"36","12417","28253","2171","96","Lifetime Positions","2020","Representative Raul Grijalva supported the interests of the Food Policy Action 96 percent in 2020.","4","Agriculture and Food","5","Animals and Wildlife","30","Environment","88","Food Processing and Sales","38","Health and Health Care"
"37","12429","28253","2402","100","Positions","2020","Representative Raul Grijalva supported the interests of the National Iranian American Council 100 percent in 2020.","40","Immigration","61","National Security",NA,NA,NA,NA,NA,NA
"38","12513","28253","674","100","Positions","2020","Representative Raul Grijalva supported the interests of the Humane Society Legislative Fund 100 percent in 2020.","5","Animals and Wildlife",NA,NA,NA,NA,NA,NA,NA,NA
"39","12590","28253","1425","92","Positions","2020","Representative Raul Grijalva supported the interests of the Americans for the Arts Action Fund 92 percent in 2020.","7","Arts, Entertainment, and History","10","Budget, Spending and Taxes",NA,NA,NA,NA,NA,NA
"40","12657","28253","1084","100","Positions","2020","Representative Raul Grijalva supported the interests of the NETWORK, A National Catholic Social Justice Lobby 100 percent in 2020.","82","Economy and Fiscal","32","Foreign Affairs","107","Religion",NA,NA,NA,NA
"41","12658","28253","1343","66","Positions","2020","Representative Raul Grijalva supported the interests of the Federally Employed Women 66 percent in 2020.","3","Employment and Affirmative Action","68","Women",NA,NA,NA,NA,NA,NA
"42","12660","28253","1744","63","Positions","2020","Representative Raul Grijalva supported the interests of the RESULTS 63 percent in 2020.","4","Agriculture and Food","67","Unemployed and Low-Income",NA,NA,NA,NA,NA,NA
"43","12662","28253","1012","100","Positions","2020","Representative Raul Grijalva supported the interests of the League of Conservation Voters 100 percent in 2020.","30","Environment","103","Natural Resources",NA,NA,NA,NA,NA,NA
"44","12663","28253","1012","96","Lifetime Positions","2020","Representative Raul Grijalva supported the interests of the League of Conservation Voters 96 percent in 2020.","30","Environment","103","Natural Resources",NA,NA,NA,NA,NA,NA
"45","12753","28253","1598","71","Positions","2020","Representative Raul Grijalva supported the interests of the American Federation of Government Employees 71 percent in 2020.","43","Labor Unions",NA,NA,NA,NA,NA,NA,NA,NA
"46","12754","28253","109","100","Positions","2020","Representative Raul Grijalva supported the interests of the Defenders of Wildlife Action Fund 100 percent in 2020.","5","Animals and Wildlife","30","Environment",NA,NA,NA,NA,NA,NA
"47","12756","28253","1734","8","Positions","2020","Representative Raul Grijalva supported the interests of the The Club for Growth 8 percent in 2020.","86","Fiscally Conservative","90","Government Budget and Spending","111","Taxes",NA,NA,NA,NA
"48","12757","28253","1734","9","Lifetime Positions","2020","Representative Raul Grijalva supported the interests of the The Club for Growth 9 percent in 2020.","86","Fiscally Conservative","90","Government Budget and Spending","111","Taxes",NA,NA,NA,NA
"49","12765","28253","872","8","Positions","2020","Representative Raul Grijalva supported the interests of the National Taxpayers Union 8 percent in 2020.","86","Fiscally Conservative","90","Government Budget and Spending","111","Taxes",NA,NA,NA,NA
"50","12791","28253","2231","14","Positions","2020","Representative Raul Grijalva supported the interests of the Family Research Council (FRC) Action 14 percent in 2020.","31","Family",NA,NA,NA,NA,NA,NA,NA,NA
"51","12810","28253","13","0","Positions","2020","Representative Raul Grijalva supported the interests of the Council for Citizens Against Government Waste 0 percent in 2020.","90","Government Budget and Spending","36","Government Operations","111","Taxes",NA,NA,NA,NA
"52","12998","28253","755","41","Positions","2020","Representative Raul Grijalva supported the interests of the United States Chamber of Commerce 41 percent in 2020.","11","Business and Consumers",NA,NA,NA,NA,NA,NA,NA,NA
"53","12999","28253","755","30","Lifetime Positions","2020","Representative Raul Grijalva supported the interests of the United States Chamber of Commerce 30 percent in 2020.","11","Business and Consumers",NA,NA,NA,NA,NA,NA,NA,NA
"54","13043","28253","959","100","Positions","2020","Representative Raul Grijalva supported the interests of the Alliance for Retired Americans 100 percent in 2020.","83","Entitlements and the Safety Net","38","Health and Health Care",NA,NA,NA,NA,NA,NA
