"","candidate_id","first_name","last_name","office_type_id","election_year","election_state_id","election_office"
"1","28253","Raul","Grijalva","C","2002","AZ","U.S. House"
"2","28253","Raul","Grijalva","C","2004","AZ","U.S. House"
"3","28253","Raul","Grijalva","C","2006","AZ","U.S. House"
"4","28253","Raul","Grijalva","C","2008","AZ","U.S. House"
"5","28253","Raul","Grijalva","C","2010","AZ","U.S. House"
"6","28253","Raul","Grijalva","C","2012","AZ","U.S. House"
"7","28253","Raul","Grijalva","C","2014","AZ","U.S. House"
"8","28253","Raul","Grijalva","C","2016","AZ","U.S. House"
"9","28253","Raul","Grijalva","C","2018","AZ","U.S. House"
"10","193534","David","Grijalva",NA,"2020","NM","State House"
"11","194890","Jessenia","Grijalva",NA,"2020","RI","State House"
"12","28253","Raul","Grijalva","C","2020","AZ","U.S. House"
