"","sig_id","name","description"
"1","1488","National Family Planning & Reproductive Health Association","The National Family Planning and Reproductive Health Association (NFPRHA), founded in 1971, is a non-profit membership organization established to assure access to voluntary, comprehensive and culturally sensitive family planning and reproductive health care services and to support reproductive freedom for all."
"2","1542","American Immigration Lawyers Association","The American Immigration Lawyers Association is the national association of immigration lawyers established to promote justice, advocate for fair and reasonable immigration law and policy, advance the quality of immigration and nationality law and practice, and enhance the professional development of its members."
"3","1578","Planned Parenthood Action Fund","The Planned Parenthood® Action Fund, the host of www.plannedparenthoodaction.org, is a national not-for-profit organization with its main offices in New York City and Washington, DC. The Action Fund is the nonpartisan advocacy and political arm of Planned Parenthood Federation of America. The Action Fund engages in educational and electoral activity, including legislative advocacy, voter education, and grassroots organizing to promote the Planned Parenthood mission. Planned Parenthood Federation of America, Inc. (PPFA) is the nation's leading provider and advocate of high-quality, affordable health care for women, men, and young people, as well as the nation's largest provider of sex education. With over 650 health centers across the country, Planned Parenthood organizations serve all patients with care and compassion, with respect and without judgment. Through health centers, programs in schools and communities, and online resources, Planned Parenthood is a trusted source of reliable health information that allows people to make informed health decisions."
"4","122","Brady Campaign to Prevent Gun Violence","The mission of the Brady organization and its Million Mom March is to create a safer America by cutting gun deaths in half by 2025."
"5","1110","Peace Action","Peace Action is the nation's largest grassroots peace network with chapters and affiliates in states across the country. We organize our network to place pressure on Congress and the Administration through write-in campaigns, Internet actions, citizen lobbying and direct action. Through a close relationship with progressive members of Congress, we play a key role in devising strategies to move forward peace legislation. As a leading member of various coalitions, we lend our expertise and large network to achieving common goals."
"6","1056","International Association of Fire Fighters","The IAFF is the driving force behind nearly every advance in the fire and emergency services in the 21st century. The IAFF Political Action Committee, FIREPAC, is among the top 25 federal PACs among the more than 4,000 in the country."
"7","834","Associated Builders & Contractors (ABC)","The purpose of ABC PAC is to work within the federal election process to further the goals of the association through direct involvement in supporting and opposing candidates for the Office of President, United States Senate and United States House of Representatives. This is accomplished through educating our members on the importance of political activism and through financial support of merit shop candidates."
"8","463","UFCW (United Food and Commercial Workers)","Our union is founded on workers empowering workers to unite and find their voice. We are made up of more than 1.3 million people working primarily in grocery and retail stores, and in the food processing and meat packing industries. Together, we are proud to put the food on America's tables."
"9","674","Humane Society Legislative Fund","The Humane Society Legislative Fund was formed in 2004 as a separate lobbying affiliate of The Humane Society of the United States. HSLF works to pass animal protection laws at the state and federal levels, to educate the public about animal protection issues, and to support humane candidates for office."
"10","1120","National Farmers Union","National Farmers Union was founded in 1902 in Point, Texas, to help the family farmer address profitability issues and monopolistic practices. NFU has been working since 1902 to protect and enhance the economic well-being and quality of life for family farmers, ranchers and rural communities through advocating grassroots-driven policy positions adopted by its membership."
"11","1481","American Conservative Union (ACU)","The ACU has served as an umbrella organization harnessing the collective strength of conservative organizations fighting for Americans who are concerned with liberty, personal responsibility, traditional values, and strong national defense. As America's premier conservative voice, ACU is the leading entity in providing conservative positions on issues to Congress, the Executive Branch, State Legislatures, the media, political candidates, and the public."
"12","1660","United Electrical, Radio and Machine Workers","'UE' is the abbreviation for United Electrical, Radio and Machine Workers of America, a democratic national union representing some 35,000 workers in a wide variety of manufacturing, public sector and private non-profit sector jobs. UE is an independent union (not affiliated with the AFL-CIO) proud of its democratic structure and progressive policies."
