,cand_id
0,135906
4,54356
5,1327
6,4208
8,59967
9,17105
10,37540
12,168428
13,194668
14,4913
15,12847
16,19537
19,34415
20,38629
22,48563
23,33872
24,49876
25,34274
27,47689
28,47210
31,57239
33,101702
34,109358
35,112300
36,123880
37,50168
38,122917
39,124711
40,120904
42,138065
45,154243
46,172417
47,168553
49,176753
50,185461
51,84404
52,184207
57,192675
60,192472
61,191034
62,57057
63,101646
64,182227
65,188805
66,1196
67,8049
68,15840
69,20371
71,54466
72,55480
73,27571
74,50466
76,34456
79,108253
80,154265
82,177777
83,178537
86,26827
93,30338
99,119267
106,172653
107,170113
115,34947
117,182098
118,13612
122,34906
124,142143
126,167752
129,182445
134,21960
135,24887
137,37718
139,93547
140,104420
141,144790
142,155414
144,167014
149,2315
150,10192
151,7133
152,3735
157,54982
164,57337
165,67385
167,107145
168,109799
170,107072
172,124310
173,124878
177,154931
180,183863
182,195246
183,187372
185,28987
186,22335
187,15161
189,30170
191,30919
198,166372
199,167438
200,149
201,11896
205,27640
206,189091
207,26970
210,6296
211,8480
212,9438
214,25114
219,46680
220,27730
224,48546
231,117010
232,78667
233,137179
235,171963
238,181008
239,194710
243,102819
244,152976
246,9660
247,47336
248,29928
249,59422
250,107734
251,138287
252,137148
254,155585
255,150186
256,150689
259,169350
261,183025
264,191386
265,191636
266,195102
267,37936
268,58529
269,98650
271,162788
272,130
273,9688
274,1452
275,29151
278,29386
279,29398
281,32822
284,42986
285,117011
286,124942
287,102898
289,250
290,15465
291,8809
292,5935
293,2982
294,11577
295,718
296,10971
297,10854
298,9441
299,4482
300,11908
301,2986
302,4057
303,10393
304,4915
305,5724
307,18086
309,5587
311,19058
312,6591
313,20557
315,25377
316,25056
317,18380
318,18842
321,20155
322,25839
323,41365
325,27859
328,53576
329,47920
330,40942
331,42569
333,55414
334,28879
336,38026
337,56233
338,34835
341,55947
342,48218
345,31681
347,36246
348,30086
349,47266
352,43898
354,50400
362,45790
364,48161
365,39208
366,38485
371,31041
373,45661
376,37397
377,29252
380,31756
381,49859
382,27421
383,36928
387,30451
389,38082
393,32477
397,59207
398,57080
399,65460
401,68194
402,69129
403,68691
404,57667
408,65103
409,60035
410,58680
411,59147
416,69807
421,103109
424,103815
425,102149
427,104638
428,105163
430,102415
432,106444
433,105134
434,32970
436,106624
438,102752
439,103839
441,104780
443,69635
445,105117
446,111089
448,127497
449,123694
452,124782
455,125680
456,116525
457,121593
458,126016
461,119214
462,127430
463,123478
464,73611
466,122786
468,122979
469,124888
471,125609
474,125192
475,127263
476,127238
477,128796
478,134615
482,137219
483,137911
485,134559
488,39638
490,142779
491,136658
493,135822
494,137750
495,140072
502,82484
503,136920
504,79053
505,135064
506,144507
510,152203
511,150192
512,149180
513,154500
514,153550
515,146065
516,149214
519,151335
520,151062
521,150322
523,155641
526,155798
527,152663
528,146034
530,155799
532,152970
533,72747
534,146210
535,152257
540,165793
542,174927
544,167378
545,173425
549,170819
550,168011
552,162603
554,160054
557,170966
558,167063
562,168269
563,166198
565,169056
567,176353
568,176371
569,176535
571,176797
573,181969
575,179060
576,65570
577,132900
578,182938
586,179731
587,181417
588,182447
589,184625
591,178452
594,186559
595,187001
597,186152
598,186018
600,189494
602,190952
603,193076
604,195436
605,191565
606,190933
607,195284
608,192955
611,194432
613,191015
614,190284
615,194121
616,195406
617,21842
618,27996
621,119131
622,119487
624,73392
625,156410
628,183404
629,190000
630,190972
632,175122
633,168732
635,125329
636,122031
638,135638
640,441
653,177034
654,6923
655,2672
656,13083
657,4058
658,24468
660,23576
663,37674
665,55544
667,52353
668,30800
669,34065
673,53134
676,66513
677,68890
680,107660
681,102318
682,110696
684,110594
685,108411
686,117323
689,128409
690,136517
692,135968
693,141533
695,135733
696,137240
697,137177
698,150949
702,156665
703,156443
704,173265
705,171981
708,171842
709,177734
711,177966
715,192432
716,190498
717,190515
718,189386
719,194642
720,21931
721,4916
722,4171
723,2616
724,22886
730,111220
731,124952
733,127695
734,129227
735,75861
736,185788
737,191317
738,65606
739,5237
740,135345
741,702
742,121126
743,104278
745,34420
746,2213
747,49857
748,33619
751,69285
752,116913
753,134963
754,128648
755,140244
756,70114
758,154892
759,149385
761,161370
763,176329
764,183002
766,191315
769,54257
773,187950
775,28844
776,3051
781,28423
786,119977
789,156337
790,166406
793,18226
794,6789
796,66902
797,49397
799,24139
800,23231
803,66375
804,51480
805,150323
807,181779
808,37413
809,155117
810,182415
811,43114
812,65791
813,138453
814,192365
815,1470
816,195
817,9301
819,49714
821,46639
822,52804
830,110232
831,103791
833,104775
835,136743
840,51899
841,146032
842,2369
843,110293
845,119613
846,125264
847,54286
848,168547
849,139119
850,153215
852,14734
853,24842
854,18254
856,44473
859,47137
861,57086
866,139236
868,23817
869,175743
870,170553
871,179615
872,177198
875,5889
879,32559
883,121262
884,166755
885,166275
888,23418
891,137834
892,2166
893,29499
894,139802
895,140655
896,168710
897,167679
899,180727
902,194015
903,181068
904,54986
906,174983
908,195180
909,38547
911,59201
913,126052
915,146271
916,154397
919,171154
925,37526
926,101631
927,43365
931,18155
932,59381
935,153002
936,155127
937,155510
939,36515
941,2223
942,21676
943,10091
944,5466
945,13972
946,10231
947,3275
948,2800
949,12323
950,6052
951,200
952,11559
953,13856
954,3941
955,10819
957,15916
959,1603
964,35303
965,4545
966,55652
971,43617
973,15691
977,41630
978,48107
983,35001
987,36582
988,48754
990,50853
991,48789
993,33054
997,37929
999,29555
1003,59120
1005,17818
1006,56797
1010,56704
1012,106848
1013,107885
1016,102973
1018,105003
1019,103075
1021,105080
