Federal Individual Income Tax Rates History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Married Filing Jointly,,,,,,,,,,,,,,Married Filing Separately,,,,,,,,,,,,,,Single Filer,,,,,,,,,,,,,,Head of Household,,,,,,,,,,,,,
,Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X),Rate,Bracket (>$X)
2021,10%,$0.00,12%,"$19,900.00",22%,"$81,050.00",24%,"$172,750.00",32%," $329,850.00 ",35%," $418,850.00 ",37%," $628,301.00 ",10%,$0.00,12%,"$9,950.00",22%,"$40,525.00",24%,"$86,375.00",32%," $164,925.00 ",35%," $209,425.00 ",37%," $314,150.50 ",10%,$0.00,12%,"$9,950.00",22%,"$40,525.00",24%,"$86,375.00",32%," $164,925.00 ",35%," $209,425.00 ",37%," $523,600.00 ",10%,$0.00,12%,"$14,200.00",22%,"$54,200.00",24%,"$86,350.00",32%," $164,900.00 ",35%," $209,400.00 ",37%," $523,600.00 "
2020,10%,$0.00,12%,"$19,750.00",22%,"$80,250.00",24%,"$171,050.00",32%," $326,600.00 ",35%," $414,700.00 ",37%," $622,050.00 ",10%,$0.00,12%,"$9,875.00",22%,"$40,125.00",24%,"$85,525.00",32%," $163,300.00 ",35%," $207,350.00 ",37%," $311,025.00 ",10%,$0.00,12%,"$9,875.00",22%,"$40,125.00",24%,"$85,525.00",32%," $163,300.00 ",35%," $207,350.00 ",37%," $518,400.00 ",10%,$0.00,12%,"$14,100.00",22%,"$53,700.00",24%,"$85,500.00",32%," $163,300.00 ",35%," $207,350.00 ",37%," $518,400.00 "
2019,10%,$0.00,12%,"$19,400.00",22%,"$78,950.00",24%,"$168,400.00",32%," $321,450.00 ",35%," $408,200.00 ",37%," $612,350.00 ",10%,$0.00,12%,"$9,700.00",22%,"$39,475.00",24%,"$84,200.00",32%," $160,725.00 ",35%," $204,100.00 ",37%," $306,175.00 ",10%,$0.00,12%,"$9,700.00",22%,"$39,475.00",24%,"$84,200.00",32%," $160,725.00 ",35%," $204,100.00 ",37%," $510,300.00 ",10%,$0.00,12%,"$9,700.00",22%,"$52,850.00",24%,"$84,200.00",32%," $160,700.00 ",35%," $204,100.00 ",37%," $510,300.00 "
2018,10%,$0.00,12%,"$19,050.00",22%,"$77,400.00",24%,"$165,000.00",32%," $315,000.00 ",35%," $400,000.00 ",37%," $600,000.00 ",10%,$0.00,12%,"$9,525.00",22%,"$38,700.00",24%,"$82,500.00",32%," $157,500.00 ",35%," $200,000.00 ",37%," $300,000.00 ",10%,$0.00,12%,"$9,525.00",22%,"$38,700.00",24%,"$82,500.00",32%," $157,500.00 ",35%," $200,000.00 ",37%," $500,000.00 ",10%,$0.00,12%,"$13,600.00",22%,"$51,800.00",24%,"$82,500.00",32%," $157,500.00 ",35%," $200,000.00 ",37%," $500,000.00 "
2017,10%,$0.00,15%,"$18,650.00",25%,"$75,900.00",28%,"$153,100.00",33%," $233,350.00 ",35%," $416,700.00 ",39.6%," $470,700.00 ",10%,$0.00,15%,"$9,325.00",25%,"$37,950.00",28%,"$76,550.00",33%," $116,675.00 ",35%," $208,350.00 ",39.6%," $235,350.00 ",10%,$0.00,15%,"$9,325.00",25%,"$37,950.00",28%,"$91,900.00",33%," $191,650.00 ",35%," $416,700.00 ",39.6%," $418,400.00 ",10%,$0.00,15%,"$13,350.00",25%,"$50,800.00",28%,"$131,200.00",33%," $212,500.00 ",35%," $416,700.00 ",39.6%," $444,550.00 "
2016,10%,$0.00,15%,"$18,550.00",25%,"$75,300.00",28%,"$151,900.00",33%," $231,450.00 ",35%," $413,350.00 ",39.6%," $466,950.00 ",10%,$0.00,15%,"$9,275.00",25%,"$37,650.00",28%,"$75,950.00",33%," $115,725.00 ",35%," $206,675.00 ",39.6%," $233,475.00 ",10%,$0.00,15%,"$9,275.00",25%,"$37,650.00",28%,"$91,150.00",33%," $190,150.00 ",35%," $413,450.00 ",39.6%," $415,050.00 ",10%,$0.00,15%,"$13,250.00",25%,"$50,400.00",28%,"$130,150.00",33%," $210,800.00 ",35%," $413,350.00 ",39.6%," $441,000.00 "
2015,10%,$0.00,15%,"$18,451.00",25%,"$74,901.00",28%,"$151,201.00",33%," $230,451.00 ",35%," $411,501.00 ",39.6%," $464,851.00 ",10%,$0.00,15%,"$9,225.50",25%,"$37,450.50",28%,"$75,600.50",33%," $115,225.50 ",35%," $205,750.50 ",39.6%," $232,425.50 ",10%,$0.00,15%,"$9,226.00",25%,"$37,451.00",28%,"$90,751.00",33%," $189,301.00 ",35%," $411,501.00 ",39.6%," $413,201.00 ",10%,$0.00,15%,"$13,151.00",25%,"$50,201.00",28%,"$129,601.00",33%," $209,851.00 ",35%," $411,501.00 ",39.6%," $439,001.00 "
2014,10%,$0.00,15%,"$18,151.00",25%,"$73,801.00",28%,"$148,851.00",33%," $226,851.00 ",35%," $405,101.00 ",39.6%," $457,601.00 ",10%,$0.00,15%,"$9,075.50",25%,"$36,900.50",28%,"$74,425.50",33%," $113,425.50 ",35%," $202,550.50 ",39.6%," $228,800.50 ",10%,$0.00,15%,"$9,076.00",25%,"$36,901.00",28%,"$89,351.00",33%," $186,351.00 ",35%," $405,101.00 ",39.6%," $406,751.00 ",10%,$0.00,15%,"$12,951.00",25%,"$49,401.00",28%,"$127,551.00",33%," $206,601.00 ",35%," $405,101.00 ",39.6%," $432,201.00 "
2013,10%,$0.00,15%,"$17,850.00",25%,"$72,500.00",28%,"$146,400.00",33%," $223,050.00 ",35%," $398,350.00 ",39.6%," $450,000.00 ",10%,$0.00,15%,"$8,925.00",25%,"$36,250.00",28%,"$73,200.00",33%," $111,525.00 ",35%," $199,175.00 ",39.6%," $225,000.00 ",10%,$0.00,15%,"$8,925.00",25%,"$36,250.00",28%,"$87,850.00",33%," $183,250.00 ",35%," $398,350.00 ",39.6%," $400,000.00 ",10%,$0.00,15%,"$12,750.00",25%,"$48,600.00",28%,"$125,450.00",33%," $203,150.00 ",35%," $398,350.00 ",39.6%," $425,000.00 "
