Year,State,Burden Rate,Income per Capita,Taxes Paid to Own State Per Capita,Taxes Paid to Other States Per Capita,Total Taxes Paid Per Capita
2012,Alabama,0.09,35336.66,2141.95,925.09,3067.04
2012,Alaska,0.07,49779.58,1986.21,1242.48,3228.69
2012,Arizona,0.09,37011.65,2283.47,992.05,3275.52
2012,Arkansas,0.10,34862.10,2552.18,966.83,3519.01
2012,California,0.11,47807.79,4126.38,1110.81,5237.19
2012,Colorado,0.09,48313.50,2967.52,1336.18,4303.70
2012,Connecticut,0.13,62374.15,5515.62,2353.76,7869.38
2012,Delaware,0.10,43437.33,2610.01,1802.16,4412.17
2012,District of Columbia,0.11,70836.83,5230.92,2309.81,7540.73
2012,Florida,0.09,41848.49,2498.79,1239.64,3738.43
2012,Georgia,0.09,37477.52,2445.99,980.37,3426.36
2012,Hawaii,0.10,44920.02,3480.16,1095.84,4576.00
2012,Idaho,0.09,35495.64,2255.14,1063.04,3318.18
2012,Illinois,0.11,47655.55,4015.29,1219.85,5235.14
2012,Indiana,0.10,37580.46,2591.64,993.11,3584.75
2012,Iowa,0.09,43877.59,2876.58,1160.85,4037.43
2012,Kansas,0.10,43490.14,2807.66,1323.08,4130.74
2012,Kentucky,0.10,34782.48,2410.46,887.70,3298.16
2012,Louisiana,0.08,38905.57,1953.10,996.84,2949.94
2012,Maine,0.10,39062.17,2894.60,1101.93,3996.53
2012,Maryland,0.11,54265.58,4387.04,1533.18,5920.22
2012,Massachusetts,0.10,57179.53,4220.49,1651.29,5871.78
2012,Michigan,0.09,38636.25,2704.21,926.41,3630.62
2012,Minnesota,0.11,47805.87,3979.93,1204.79,5184.72
2012,Mississippi,0.09,31847.27,1909.66,832.46,2742.12
2012,Missouri,0.09,38825.01,2483.32,1108.06,3591.38
2012,Montana,0.09,38980.50,2172.35,1216.49,3388.84
2012,Nebraska,0.09,45484.91,2930.17,1267.03,4197.20
2012,Nevada,0.08,41296.58,2050.95,1297.97,3348.92
2012,New Hampshire,0.08,50287.79,2172.53,1788.86,3961.39
2012,New Jersey,0.12,56731.04,4876.44,2050.03,6926.47
2012,New Mexico,0.09,36051.21,2170.36,971.03,3141.39
2012,New York,0.13,55047.07,5587.84,1405.58,6993.42
2012,North Carolina,0.10,37522.78,2706.67,952.14,3658.81
2012,North Dakota,0.09,53953.44,3348.72,1518.21,4866.93
2012,Ohio,0.10,40110.60,2985.84,937.98,3923.82
2012,Oklahoma,0.09,40762.14,2420.17,1094.55,3514.72
2012,Oregon,0.10,39578.36,3062.85,1032.01,4094.86
2012,Pennsylvania,0.10,45046.00,3384.52,1204.16,4588.68
2012,Rhode Island,0.11,46359.05,3475.91,1521.60,4997.51
2012,South Carolina,0.08,34820.69,1998.87,936.94,2935.81
2012,South Dakota,0.07,46780.66,1910.79,1407.30,3318.09
2012,Tennessee,0.07,38178.36,1860.96,944.19,2805.15
2012,Texas,0.08,44080.98,2332.13,1008.06,3340.19
2012,Utah,0.10,36988.84,2504.59,1051.14,3555.73
2012,Vermont,0.10,44336.70,3129.45,1427.89,4557.34
2012,Virginia,0.09,49540.85,3258.34,1364.73,4623.07
2012,Washington,0.09,48999.45,3240.84,1300.64,4541.48
2012,West Virginia,0.10,34015.67,2454.87,875.80,3330.67
2012,Wisconsin,0.11,42990.35,3602.49,1131.73,4734.22
